"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"American College of the Building Arts","649 Meeting Street, Charleston, South Carolina 29403-4223","acba.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","No","141","141","64%","NA","Fall 2017","$26,246","-","485698","04283000"
"American Film Institute Conservatory","2021 N Western Ave, Los Angeles, California 90027-1625","www.afi.com/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Large","No","423","","NA","NA","Fall 2017","NA","-","108870","02222000"
"American Institute of Alternative Medicine","6685 Doubletree Ave, Columbus, Ohio 43229","www.aiam.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Master's degree","City: Large","No","360","336","55%","NA","Fall 2017","$31,749","-","441636","03534400"
"American InterContinental University System","2200 E Germann Road, Suite 100, Chandler, Arizona 85286","https://www.aius.education/","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","14333","10447","21%","NA","Fall 2017","$14,250","-","445027","02113600"
"American InterContinental University-Atlanta","6600 Peachtree Dunwoody Road, 500 Embassy Row, Atlanta, Georgia 30328","www.aiuniv.edu/online-campus/campus-locations/atlanta","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","City: Midsize","No","1050","958","21%","NA","Fall 2017","$15,590","-","438586","02113613"
"American InterContinental University-Houston","9999 Richmond Avenue, Houston, Texas 77042","www.aiuniv.edu/online-campus/campus-locations/houston","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","City: Large","No","171","122","45%","NA","Fall 2017","$18,558","-","445133","02113610"
"American International College","1000 State Street, Springfield, Massachusetts 01109","www.aic.edu/","4-year, Private not-for-profit","Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","2010","1167","42%","NA","Fall 2017","$21,454","-","164447","00211400"
"American Islamic College","640 W Irving Park RD, Chicago, Illinois 60613","www.aicusa.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","No","19","10","NA","NA","Fall 2017","$8,750","-","142957",""
"American Jewish University","15600 Mulholland Dr, Los Angeles, California 90077-1519","www.aju.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","No","108","42","31%","69%","Fall 2017","NA","-","116846","00274100"
"American Medical Academy","12215 SW 112 Street, Miami, Florida 33186-4830","www.ama.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","333","333","72%","NA","Fall 2017","NA","Emergency Medical Technology/Technician (EMT Paramedic)","475714","04192100"
"American Medical Sciences Center","225 West Broadway, Suite 410, Glendale, California 91204-5108","www.amsc.edu/","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Midsize","No","161","161","100%","NA","Fall 2017","$23,118","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","461263","04159700"
"American Musical and Dramatic Academy","211 West 61st Street, New York, New York 10023","www.amda.edu/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Large","Yes","1480","1471","72%","NA","Fall 2017","$46,130","-","188854","00757200"
"American National University","1813 East Main Street, Salem, Virginia 24153","https://www.an.edu/locations/","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Midsize","No","1113","950","26%","NA","Fall 2017","$19,988","-","232797","00372600"
"American National University-Pikeville","130 South Mayo Trail, Pikeville, Kentucky 41501-1520","https://www.an.edu/locations/","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","Town: Remote","No","296","237","50%","NA","Fall 2017","$14,100","-","157021","01048900"
"American Public University System","111 W Congress St, Charles Town, West Virginia 25414","https://www.apus.edu/","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Town: Fringe","No","48668","39206","53%","NA","Fall 2017","$10,322","-","449339","03819300"
"American River College","4700 College Oak Dr, Sacramento, California 95841-4286","https://www.arc.losrios.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","27422","27422","33%","9%","Fall 2020","$6,896","-","109208","00123200"
"American Samoa Community College","P.O. Box 2609, Pago Pago, American Samoa 96799-2609","www.amsamoa.edu/","4-year, primarily associate's, Public","One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Fringe","No","1051","1051","48%","NA","Fall 2017","$4,468","-","240736","01001000"
"American Trade School","3925 Industrial Drive, Saint Ann, Missouri 63074-1807","www.americantradeschool.edu/","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","127","127","64%","NA","Fall 2020","$17,914","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician","461573","04174800"
"American University","4400 Massachusetts Ave NW, Washington, District of Columbia 20016-8001","www.american.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","13885","7917","78%","NA","Fall 2017","$40,189","-","131159","00143400"
"American University of Health Sciences","1600 East Hill St, Signal Hill, California 90755-3612","https://www.auhs.edu/","4-year, Private for-profit","One but less than two years certificate|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Large","No","510","347","50%","NA","Fall 2017","NA","-","433004","03225300"
"American University of Puerto Rico","Carretera Estatal #2 Km.48.1, Manati, Puerto Rico 00674-1082","aupr.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","212","201","NA","NA","Fall 2017","$9,581","-","241128",""
"American University of Puerto Rico","Carr. #2, Km.14.4, Bo. Hato Tejas, Bayamon, Puerto Rico 00960-2037","aupr.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Midsize","No","223","201","NA","NA","Fall 2017","$8,876","-","241100",""
"AMG School of Nursing","110 Bridge Street, Brooklyn, New York 11201-1728","amg.edu/","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","479","479","75%","11%","Fall 2020","$31,137","Licensed Practical/Vocational Nurse Training","486415","04234900"
"Amherst College","Boltwood Avenue, Amherst, Massachusetts 01002-5000","www.amherst.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","1898","1898","93%","3%","Fall 2017","$17,965","-","164465","00211500"
"Amridge University","1200 Taylor Rd, Montgomery, Alabama 36117-3553","https://www.amridgeuniversity.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","No","647","228","40%","20%","Fall 2017","NA","-","100690","02503400"
"Ana G. Mendez University","5575 South Semoran Blvd. Suite #502, Orlando, Florida 32822","www.agmu.edu/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","7904","4662","NA","NA","Fall 2017","NA","-","483595","04240400"
"Anabaptist Mennonite Biblical Seminary","3003 Benham Ave, Elkhart, Indiana 46517-1999","www.ambs.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Small","Yes","132","","NA","NA","Fall 2017","NA","-","151865","00182300"
"Anderson University","316 Boulevard, Anderson, South Carolina 29621-4035","www.andersonuniversity.edu/","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Small","Yes","4121","3237","71%","NA","Fall 2017","$22,222","-","217633","00341800"
"Anderson University","1100 E 5th St, Anderson, Indiana 46012-3495","https://anderson.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","1290","1129","49%","32%","Fall 2017","$21,914","-","150066","00178500"
"Andrew College","501College St, Cuthbert, Georgia 39840-5550","www.andrewcollege.edu/","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Remote","Yes","247","247","27%","43%","Fall 2017","$22,806","-","138761","00154500"
"Andrews University","4150 Administration Drive, Room 136, Berrien Springs, Michigan 49104","https://www.andrews.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","Town: Fringe","Yes","2858","1295","66%","9%","Fall 2017","$24,874","-","168740","00223800"
"Angeles College","3440 Wilshire Blvd Ste 310, Los Angeles, California 90010","https://www.angelescollege.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Large","No","369","365","97%","NA","Fall 2017","$24,659","Licensed Practical/Vocational Nurse Training","457299","04160400"
"Angelina College","3500 South First, Lufkin, Texas 75902-1768","www.angelina.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","4002","4002","27%","16%","Fall 2020","$10,010","-","222822","00666100"
"Angelo State University","2601 W. Avenue N, San Angelo, Texas 76909","www.angelo.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","10599","9066","41%","22%","Fall 2017","$12,518","-","222831","00354100"
"Anna Maria College","50 Sunset Lane, Paxton, Massachusetts 01612-1198","www.annamaria.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate","Rural: Fringe","Yes","1436","1069","40%","NA","Fall 2017","$28,732","-","164492","00211700"
"Anne Arundel Community College","101 College Pky, Arnold, Maryland 21012-1895","www.aacc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","10192","10192","25%","25%","Fall 2020","$15,746","-","161767","00205800"
"Anoka Technical College","1355 Highway 10 West, Anoka, Minnesota 55303","www.anokatech.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","1580","1580","56%","10%","Fall 2020","$11,488","-","172954","00735000"
"Anoka-Ramsey Community College","11200 Mississippi Blvd NW, Coon Rapids, Minnesota 55433-3470","www.anokaramsey.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","7902","7902","24%","36%","Fall 2020","$10,882","-","172963","00233200"
"Antelope Valley Community College District","3041 West  Ave K, Lancaster, California 93536-5426","www.avc.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","11840","11840","31%","7%","Fall 2017","$8,294","-","109350","00111300"
"Antigua College International","14505 Commerce Way, Miami Lakes, Florida 33016-1511","www.antigua.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","213","213","NA","NA","Fall 2017","$25,650","-","496636","04282300"
"Antioch College","1 Morgan Pl, Yellow Springs, Ohio 45387","antiochcollege.edu/","4-year, Private not-for-profit","Bachelor's degree","Rural: Fringe","Yes","127","127","26%","21%","Fall 2017","$10,979","-","483018","04244300"
"Antioch University","900 Dayton St, Yellow Springs, Ohio 45387","www.antioch.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Rural: Fringe","No","443","105","NA","NA","Fall 2017","NA","-","245892","00301000"
"Antioch University-Los Angeles","400 Corporate Pointe, Culver City, California 90230-7615","www.antiochla.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","867","74","NA","NA","Fall 2017","NA","-","245838","00301002"
"Antioch University-New England","40 Avon St, Keene, New Hampshire 03431","www.antiochne.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Distant","No","1045","","NA","NA","Fall 2017","NA","-","245865","00301004"
"Antioch University-Santa Barbara","602 Anacapa Street, Santa Barbara, California 93101","www.antiochsb.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Small","No","279","60","NA","NA","Fall 2017","NA","-","245847","00301003"
"Antioch University-Seattle","2326 6th Ave, Seattle, Washington 98121-1814","www.antiochseattle.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","799","80","NA","NA","Fall 2017","NA","-","245883","00301005"
"AOMA Graduate School of Integrative Medicine","4701 Westgate Blvd, Austin, Texas 78745","https://aoma.edu/","4-year, Private for-profit","Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","135","","NA","NA","Fall 2017","NA","-","429094","03156400"
"Apex College of Veterinary Technology","330 South El Paso Street, Colorado Springs, Colorado 80903","https://www.apexcvt.edu/","2-year, Private for-profit","Associate's degree","City: Large","No","36","36","67%","NA","Fall 2020","$15,030","-","494986","04285700"
"Appalachian Bible College","161 College Drive, Mount Hope, West Virginia 25880-9557","https://abc.edu/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Small","Yes","232","220","76%","NA","Fall 2017","$18,749","-","237136","00754400"
"Appalachian College of Pharmacy","1060 Dragon Road, Oakwood, Virginia 24631","www.acp.edu/","4-year, Private not-for-profit","Doctor's degree - professional practice","Rural: Distant","No","130","","NA","NA","Fall 2017","NA","-","449922","04180600"
"Appalachian School of Law","1169 Edgewater Drive, Grundy, Virginia 24614","www.asl.edu/","4-year, Private not-for-profit","Doctor's degree - professional practice","Rural: Remote","No","152","","NA","NA","Fall 2017","NA","-","432348","03559300"
"Appalachian State University","287 Rivers St, Boone, North Carolina 28608","https://www.appstate.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Distant","Yes","20436","18558","73%","18%","Fall 2017","$14,712","-","197869","00290600"
"Aquinas College","1700 Fulton St. E, Grand Rapids, Michigan 49506-1801","https://www.aquinas.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","1265","1169","63%","26%","Fall 2017","$19,890","-","168786","00223900"
"Aquinas Institute of Theology","23 South Spring Avenue, Saint Louis, Missouri 63108-3323","https://www.ai.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","No","95","","NA","NA","Fall 2017","NA","-","176600","00163200"
"Arapahoe Community College","5900 S. Santa Fe Dr., Littleton, Colorado 80160-9002","www.arapahoe.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","12636","12636","27%","41%","Fall 2017","$9,786","-","126289","00134600"
"Arcadia University","450 S Easton Rd, Glenside, Pennsylvania 19038-3295","https://www.arcadia.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","3026","1870","64%","30%","Fall 2017","$26,994","-","211088","00323500"
"Arizona Christian University","1 W. Firestorm Way, Glendale, Arizona 85306-3216","arizonachristian.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","1082","1082","41%","8%","Fall 2017","$32,397","-","105899","00711300"
"Arizona College of Nursing-Aurora","3131 South Vaughn Way Suite 525, Aurora, Colorado 80014-3511","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Large","No","","","NA","NA","Fall 2017","NA","-","499389","03115015"
"Arizona College of Nursing-Cincinnati","11500 Northlake Drive Suite 105, Cincinnati, Ohio 45249-1655","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","Suburb: Large","No","","","NA","NA","Fall 2017","NA","-","499398","03115016"
"Arizona College of Nursing-Cleveland","3401 Enterprise Parkway, Beachwood, Ohio 44122-7343","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","Suburb: Large","No","","","NA","NA","Fall 2017","NA","-","499404","03115017"
"Arizona College of Nursing-Dallas","8330 LBJ Freeway Suite 100, Dallas, Texas 75243-1200","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Large","No","296","296","NA","NA","Fall 2017","$32,728","-","494162","03115003"
"Arizona College of Nursing-Falls Church","3130 Fairview Park Drive Suite 800, Falls Church, Virginia 22042-4566","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","Suburb: Large","No","144","144","NA","NA","Fall 2017","$32,314","-","498447","03115012"
"Arizona College of Nursing-Fort Lauderdale","600 Corporate Drive Suite 200, Fort Lauderdale, Florida 33334-3637","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Midsize","No","321","321","NA","NA","Fall 2017","$35,522","-","495439","03115006"
"Arizona College of Nursing-Las Vegas","8363 West Sunset Road, Suite 200, Las Vegas, Nevada 89113","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","Suburb: Large","No","1142","1142","75%","NA","Fall 2017","$26,573","-","487375","03115002"
"Arizona College of Nursing-Ontario","3401 North Centre Lake Drive, Ontario, California 91761-1201","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Midsize","No","210","210","NA","NA","Fall 2017","$38,102","-","498456","03115013"
"Arizona College of Nursing-Phoenix","16404 North Black Canyon Highway, Suite 200, Phoenix, Arizona 85053-4058","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Large","No","746","746","NA","NA","Fall 2017","$34,731","-","495457","03115008"
"Arizona College of Nursing-Salt Lake City","434 West Ascension Way, Suite 122, Murray, Utah 84123-2790","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Small","No","258","258","NA","NA","Fall 2017","$30,774","-","497268","03115009"
"Arizona College of Nursing-Sarasota","8043 Cooper Creek Boulevard, University Park, Florida 34201-2142","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","Suburb: Large","No","","","NA","NA","Fall 2017","$21,988","-","499370","03115014"
"Arizona College of Nursing-Southfield","26200 Lasher Road Suite 400, Southfield, Michigan 48033-7157","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Small","No","297","297","NA","NA","Fall 2017","$32,991","-","498049","03115011"
"Arizona College of Nursing-Tampa","1411 N West Shore Blvd, Suite 200, Tampa, Florida 33607","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Large","No","320","320","NA","NA","Fall 2017","$29,063","-","495420","03115005"
"Arizona College of Nursing-Tempe","1620 West Fountainhead Parkway, Tempe, Arizona 85282-1840","www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Midsize","No","1177","1177","9%","NA","Fall 2017","$30,709","-","421708","03115000"
"Arizona College of Nursing-Tucson","5285 East Williams Circle, Suite 1000, Tucson, Arizona 85711","https://www.arizonacollege.edu/","4-year, Private for-profit","Bachelor's degree","City: Large","No","516","516","NA","NA","Fall 2017","$28,338","-","495448","03115007"
"Arizona College-Glendale","4425 West Olive Avenue Suite 300, Glendale, Arizona 85302-3843","https://www.arizonacollege.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","453","453","86%","NA","Fall 2020","$26,029","-","497277","03115010"
"Arizona College-Mesa","163 N Dobson Rd, Mesa, Arizona 85201","https://www.arizonacollege.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","259","259","87%","NA","2020-21","$26,519","-","482990","03115001"
"Arizona School of Acupuncture and Oriental Medicine","2856 E Fort Lowell Rd, Tucson, Arizona 85716-1518","www.asaom.edu/","4-year, Private for-profit","Master's degree","City: Large","No","33","","NA","NA","Fall 2017","NA","-","446039","03695500"
"Arizona State University Campus Immersion","University Drive and Mill Avenue, Tempe, Arizona 85287","www.asu.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","80065","65492","68%","18%","Fall 2017","$16,401","-","104151","00108100"
"Arizona State University Digital Immersion","1365 N Scottsdale Rd, Scottsdale, Arizona 85257","www.asu.edu/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","No","62551","46679","NA","NA","Fall 2017","NA","-","483124","00108159"
"Arizona Western College","2020 S. Avenue 8E, Yuma, Arizona 85365-8834","https://www.azwestern.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","Yes","8050","8050","25%","3%","Fall 2020","$9,818","-","104160","00107100"
"Arkansas Baptist College","1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas 72202-6068","https://www.arkansasbaptist.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Midsize","Yes","497","497","8%","21%","Fall 2017","$11,047","-","106306","00108700"
"Arkansas Colleges of Health Education","7000 Chad Colley Blvd., Fort Smith, Arkansas 72916-0366","achehealth.edu/","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Small","Yes","758","","NA","NA","Fall 2017","NA","-","488527","04256800"
"Arkansas Northeastern College","2501 S Division, Blytheville, Arkansas 72316-1109","www.anc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","No","1502","1502","21%","19%","Fall 2020","$6,699","-","107327","01286000"
"Arkansas State University","2105 East, Aggie Road, Jonesboro, Arkansas 72401","www.astate.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","13190","8201","55%","26%","Fall 2017","$13,002","-","106458","00109000"
"Arkansas State University Mid-South","2000 W.  Broadway, West Memphis, Arkansas 72301-3829","www.asumidsouth.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","979","979","50%","18%","Fall 2020","$4,128","-","107318","02348200"
"Arkansas State University Three Rivers","One College Circle, Malvern, Arkansas 72104-0816","www.asutr.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Fringe","No","1832","1832","35%","10%","Fall 2020","$6,098","-","107521","00997600"
"Arkansas State University-Beebe","1000 Iowa Street, Beebe, Arkansas 72012-1000","www.asub.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Fringe","Yes","2928","2928","38%","13%","Fall 2020","$8,996","-","106449","00109100"
"Arkansas State University-Mountain Home","1600 South College Street, Mountain Home, Arkansas 72653","www.asumh.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","No","1247","1247","50%","7%","Fall 2020","$9,661","-","420538","04254400"
"Arkansas State University-Newport","7648 Victory Blvd, Newport, Arkansas 72112","https://www.asun.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","1592","1592","42%","9%","Fall 2020","$8,563","-","440402","04203400"
"Arkansas Tech University","Administration Bldg 200, 1509 N Boulder Ave, Russellville, Arkansas 72801-2222","https://www.atu.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Town: Remote","Yes","9445","8722","49%","19%","Fall 2017","$11,443","-","106467","00108900"
"Arlington Baptist University","3001 W Division, Arlington, Texas 76012-3425","https://abu.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","218","216","5%","50%","Fall 2017","$26,503","-","222877","02081400"
"Arnot Ogden Medical Center","600 Roe Avenue, Elmira, New York 14905-1676","www.arnothealth.org/","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","City: Small","No","47","47","80%","NA","Fall 2020","$18,332","Registered Nursing/Registered Nurse","188915","00643500"
"Art Academy of Cincinnati","1212 Jackson Street, Cincinnati, Ohio 45202-1706","https://www.artacademy.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","Yes","263","259","44%","NA","Fall 2017","$28,899","-","201061","00301100"
"Art Center College of Design","1700 Lida St, Pasadena, California 91103","www.artcenter.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","No","2420","2135","83%","NA","Fall 2017","$53,306","-","109651","00111600"
"Asbury Theological Seminary","204 N Lexington Ave, Wilmore, Kentucky 40390-1199","www.asburyseminary.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Town: Fringe","Yes","1747","","NA","NA","Fall 2017","NA","-","156222","00195300"
"Asbury University","1 Macklem Dr, Wilmore, Kentucky 40390-1198","https://www.asbury.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Town: Fringe","Yes","1650","1404","65%","22%","Fall 2017","$21,375","-","156213","00195200"
"Ascent College","14525 John Marshall Hwy., Gainesville, Virginia 20155","ascent.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","99","99","50%","NA","Fall 2017","NA","-","458113","04153800"
"Asher College","1215 Howe Ave, Sacramento, California 95825","www.asher.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","802","802","86%","NA","Fall 2020","$16,928","Computer and Information Systems Security/Auditing/Information Assurance","447777","04057300"
"Asheville-Buncombe Technical Community College","340 Victoria Rd, Asheville, North Carolina 28801-4897","www.abtech.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","6473","6473","32%","9%","Fall 2020","$12,734","-","197887","00403300"
"Ashford University","8620 Spectrum Center Boulevard, San Diego, California 92123","www.uagc.edu/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","34190","27201","9%","20%","Fall 2017","$25,771","-","154022","00188100"
"Ashland Community and Technical College","1400 College Drive, Ashland, Kentucky 41101-3683","https://ashland.kctcs.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","2515","2515","59%","6%","Fall 2020","$6,537","-","156231","00199000"
